aX,aY,aZ,gX,gY,gZ
0.127,0.210,0.151,-427.246,84.167,132.874
0.091,0.235,0.037,-441.956,79.590,135.193
0.058,0.263,-0.215,-443.420,75.378,130.188
0.025,0.269,-0.301,-427.978,101.624,129.578
-0.095,0.280,-0.472,-426.819,112.671,129.395
-0.149,0.285,-0.619,-428.101,102.722,109.253
-0.180,0.271,-0.951,-412.964,96.069,96.558
-0.210,0.281,-1.063,-346.741,109.131,90.881
-0.284,0.280,-1.206,-318.115,107.422,86.731
-0.309,0.245,-1.260,-290.283,49.622,64.697
-0.311,0.180,-1.378,-280.945,15.686,53.711
-0.302,0.171,-1.417,-257.385,-10.132,33.691
-0.224,0.149,-1.504,-243.652,-12.390,24.048
-0.189,0.148,-1.517,-202.026,-29.480,13.367
-0.093,0.132,-1.434,-180.115,-46.387,11.292
-0.093,0.140,-1.384,-144.836,-62.988,16.174
-0.157,0.178,-1.403,-131.958,-43.640,14.404
-0.082,0.180,-1.334,-110.657,22.034,2.319
0.007,0.173,-1.417,-99.243,26.367,0.427
0.024,0.184,-1.429,-77.820,0.061,0.610
0.006,0.202,-1.333,-62.317,-1.770,1.648
0.015,0.194,-1.267,-42.847,-1.953,3.845
0.021,0.214,-1.234,-41.199,-10.193,7.019
-0.002,0.235,-1.227,-39.063,-16.418,9.521
-0.002,0.217,-1.296,-27.161,-11.475,7.263
0.036,0.194,-1.358,-9.766,-2.747,5.859
0.025,0.209,-1.310,-3.113,-6.897,7.080
-0.005,0.226,-1.238,1.343,-14.038,8.606
-0.057,0.243,-1.070,1.587,-25.757,6.653
-0.066,0.247,-1.039,-1.282,-26.123,4.272
-0.049,0.246,-1.014,-2.014,-14.099,-0.061
-0.031,0.242,-0.997,0.000,-10.376,-2.014
0.000,0.244,-0.969,3.784,-12.085,-3.906
0.010,0.242,-0.957,5.310,-13.123,-3.845
0.028,0.229,-0.927,6.775,-10.681,-3.967
0.033,0.222,-0.920,5.615,-8.789,-4.028
0.027,0.211,-0.933,1.099,-6.348,-2.991
0.017,0.208,-0.944,-0.488,-5.066,-1.892
0.008,0.203,-0.961,-1.343,-4.822,0.244
0.004,0.191,-0.999,-0.977,-4.272,-0.183
0.003,0.187,-1.010,1.221,-1.038,-0.916
0.000,0.181,-1.027,2.075,-1.099,-1.221
0.002,0.177,-1.024,4.028,-4.700,-1.404
0.004,0.189,-1.003,4.211,-5.188,-0.977
0.007,0.202,-0.992,4.211,-5.066,-2.319
0.025,0.210,-0.963,4.822,-5.920,-2.930
0.030,0.213,-0.947,6.042,-3.601,-1.282
0.029,0.224,-0.935,5.188,-2.319,-0.061
0.029,0.219,-0.946,1.343,-2.380,0.061
0.028,0.219,-0.966,0.427,-0.793,0.000
0.028,0.224,-0.974,0.549,0.122,-0.244
0.034,0.210,-0.983,0.427,-2.563,0.061
0.028,0.210,-0.989,-0.122,-2.014,1.038
0.027,0.221,-1.002,0.488,1.892,-0.122
0.035,0.214,-0.997,2.014,3.113,-2.319
0.049,0.190,-0.981,0.916,1.343,-1.160
0.038,0.205,-0.985,-0.793,0.732,2.686
0.021,0.218,-0.986,-0.366,0.549,2.319
0.018,0.212,-0.985,0.366,2.136,1.282
0.005,0.218,-0.998,1.099,3.662,0.916
0.005,0.219,-1.001,3.540,0.488,-2.319
0.030,0.200,-0.966,4.883,-1.160,-3.052
0.036,0.197,-0.951,2.930,-0.183,-0.732
0.026,0.217,-0.969,1.648,0.244,-0.366
0.024,0.220,-0.979,2.930,-2.075,-2.991
0.019,0.230,-0.970,4.333,-4.883,-4.639
0.011,0.244,-0.963,7.385,-9.216,-8.728
0.020,0.239,-0.955,9.827,-9.705,-11.841
0.062,0.190,-0.937,8.606,-9.338,-8.179
0.074,0.192,-0.949,3.113,-6.470,-0.549
0.049,0.227,-0.986,-1.221,-0.305,4.517
0.038,0.242,-1.039,-0.732,10.559,4.028
0.036,0.232,-1.036,1.831,8.728,2.808
0.028,0.223,-1.015,5.371,1.770,3.235
0.006,0.227,-0.972,5.554,1.831,4.150
0.001,0.231,-0.965,5.249,5.310,4.272

-0.478,0.103,-2.005,204.468,43.152,-67.322
-0.532,0.157,-1.768,281.982,21.362,-93.140
-0.522,0.177,-1.575,341.431,-25.879,-118.225
-0.446,0.115,-1.234,360.229,-44.800,-130.493
-0.364,0.066,-1.134,390.747,-38.452,-148.376
-0.173,0.054,-1.011,409.058,-19.409,-151.550
-0.105,0.072,-0.927,451.782,13.977,-161.255
0.036,0.050,-0.614,464.233,9.155,-171.448
0.118,0.040,-0.430,453.186,-50.171,-185.791
0.276,0.059,-0.132,437.134,-82.031,-184.631
