aX,aY,aZ,gX,gY,gZ
0.411,-0.087,0.910,-1.282,-1.038,0.854
0.415,-0.092,0.919,-0.793,-0.732,1.892
0.412,-0.089,0.920,-0.671,-0.610,3.784
0.398,-0.080,0.918,-0.427,-0.366,4.089
0.393,-0.079,0.922,0.427,0.732,3.174
0.387,-0.073,0.922,0.183,0.977,2.441
0.385,-0.070,0.917,-0.122,1.343,0.977
0.398,-0.080,0.909,-0.366,0.977,0.183
0.405,-0.084,0.910,-2.075,-2.319,0.061
0.407,-0.084,0.914,-2.258,-2.930,0.671
0.408,-0.085,0.915,-0.977,0.183,1.709
0.405,-0.082,0.907,-0.549,1.221,2.197
0.402,-0.077,0.905,-0.183,-0.549,2.075
0.398,-0.076,0.912,0.244,-1.587,1.648
0.397,-0.077,0.920,0.366,-1.526,1.465
0.395,-0.077,0.927,-0.488,-0.977,1.831
0.391,-0.072,0.922,-1.526,0.122,1.892
0.387,-0.065,0.913,-1.160,0.244,1.404
0.389,-0.064,0.915,-1.221,-0.732,0.244
0.390,-0.062,0.909,-1.099,-0.488,-0.122
0.393,-0.065,0.906,-0.244,0.671,-0.427
0.400,-0.074,0.909,-0.366,0.122,-0.122
0.400,-0.074,0.912,-0.977,-1.221,1.282
0.395,-0.067,0.913,-0.793,-0.732,1.404
0.396,-0.066,0.915,-0.366,-0.305,0.793
0.402,-0.073,0.919,-0.305,-1.526,-0.427
0.404,-0.076,0.919,-0.671,-2.014,-0.427
0.406,-0.080,0.920,-0.488,-0.366,-0.122
0.404,-0.078,0.917,-0.977,0.122,0.183
0.399,-0.075,0.910,-2.136,-0.793,1.221
0.399,-0.073,0.907,-1.770,-0.549,1.282
0.395,-0.066,0.900,-0.610,1.038,1.587
0.388,-0.063,0.896,-0.061,1.282,1.770
0.391,-0.077,0.911,0.427,-0.854,0.061
0.398,-0.083,0.918,-0.610,-2.808,-0.366
0.392,-0.076,0.919,-1.526,-2.380,1.404
0.389,-0.073,0.916,-0.488,0.366,1.770
0.386,-0.065,0.911,0.244,1.404,0.977
0.382,-0.061,0.910,0.122,-0.366,0.366
0.382,-0.064,0.914,0.916,-1.648,-1.282
0.393,-0.077,0.927,0.122,-1.648,-0.977
0.392,-0.073,0.922,-2.380,-1.221,1.038

0.596,0.770,1.393,14.832,-29.419,-4.333
0.514,0.883,1.487,31.311,-49.255,-7.629
0.323,1.170,1.659,39.978,-51.880,-16.479
0.199,1.263,1.658,58.838,-33.386,-45.715
0.165,1.199,1.584,74.219,-7.751,-86.060
0.094,0.930,1.298,79.468,2.686,-109.436
0.058,0.756,1.103,95.947,20.874,-152.588
-0.041,0.492,0.789,107.727,23.804,-169.373
-0.130,0.362,0.677,124.817,16.785,-190.979
-0.320,-0.061,0.469,125.854,10.620,-201.111
-0.314,-0.385,0.375,100.891,-18.433,-205.261
-0.218,-0.972,0.229,76.355,-44.067,-185.303
-0.205,-1.207,0.155,39.429,-52.551,-130.188
-0.283,-1.624,0.053,35.706,-27.222,-112.000
-0.300,-1.792,0.011,50.476,39.673,-112.671
-0.047,-2.100,0.002,58.167,52.673,-127.808
0.178,-2.177,0.089,59.814,25.208,-147.400
0.615,-2.159,0.360,57.251,17.395,-132.446
0.708,-2.099,0.459,52.917,25.391,-96.863
0.520,-1.891,0.477,23.499,54.626,6.958
0.295,-1.743,0.434,-1.892,57.007,55.542
0.072,-1.596,0.377,-45.898,42.664,110.168
-0.244,-1.341,0.286,-58.167,30.884,114.380
-0.333,-1.235,0.255,-72.754,6.226,95.337
-0.320,-1.120,0.219,-79.407,-5.859,86.670
-0.264,-1.056,0.235,-97.168,-27.405,96.497
-0.201,-0.908,0.264,-105.896,-27.832,109.802
-0.162,-0.817,0.270,-111.755,-9.766,140.381
-0.065,-0.498,0.336,-107.483,-1.404,155.273
-0.042,-0.353,0.377,-91.125,0.488,174.194
-0.037,-0.182,0.483,-79.407,-8.118,175.049
-0.042,-0.121,0.576,-53.223,-31.555,159.668
-0.017,0.128,0.815,-42.419,-36.133,143.250
0.037,0.312,0.924,-22.095,-25.208,105.408
0.141,0.520,1.091,-13.550,-20.630,92.041
0.135,0.593,1.166,-1.526,-22.949,68.115
0.101,0.679,1.247,6.409,-22.522,49.683
0.126,0.686,1.291,33.325,-20.874,7.751
0.159,0.579,1.395,45.105,-22.827,-7.751
0.189,0.499,1.442,49.683,-24.536,-19.958
0.257,0.441,1.507,45.166,-21.118,-19.653
0.289,0.414,1.477,28.625,-3.235,-18.738
0.370,0.283,1.290,22.278,4.700,-19.531
0.409,0.192,1.196,19.592,7.141,-14.587
0.464,0.033,1.120,19.226,1.099,-9.094
0.464,-0.014,1.114,12.390,-16.357,-2.808
