1.98	1.90	9.00	0.70	2.58	6.89	2.42	3.02	2.78	-4.91	2.75	0.60	2.57
0.17	-0.81	8.23	3.30	-1.76	1.04	0.39	2.99	1.75	-5.13	4.71	-0.43	-4.71
3.25	-0.66	5.23	-0.51	-2.71	1.80	0.15	2.97	1.59	-7.85	0.30	0.44	-2.48
-4.74	0.12	-2.95	-3.01	-2.72	-1.05	-3.42	1.34	2.52	-3.61	-0.88	0.96	-1.39
-4.78	1.88	1.47	4.46	4.43	0.59	-0.97	0.74	3.07	0.87	-2.92	-0.17	-1.14
2.00	4.07	3.02	-2.60	2.38	2.70	1.44	2.72	3.84	1.45	2.68	6.02	2.23
-4.81	-4.89	-6.06	-5.37	-0.82	-0.40	3.10	5.47	4.43	-0.76	1.52	2.97	0.85
-1.97	3.08	-1.83	-5.71	-0.78	-0.53	1.75	-0.17	-1.56	-2.05	4.31	2.83	0.90
-4.45	-2.10	-0.19	-6.58	-4.66	-4.43	2.63	-0.89	1.90	0.19	2.58	2.93	1.26
1.91	3.39	3.45	-3.54	-6.60	-1.16	3.25	1.13	0.87	-7.43	0.06	0.86	2.31
5.72	3.78	6.49	-1.26	-2.82	-0.99	3.29	3.75	1.26	-2.49	-0.97	0.77	-2.90
-5.51	7.98	2.93	-5.14	-4.93	-0.19	1.18	3.04	4.11	5.05	-0.10	-2.48	2.12
0.10	8.91	3.58	-0.12	-6.17	-1.85	-1.62	3.41	4.50	-4.54	-5.84	-0.66	-1.75
-4.70	6.30	1.98	1.42	-1.08	5.50	-0.49	1.36	3.21	-3.30	-5.12	-1.67	-1.11
-1.84	6.22	5.56	5.25	-2.05	3.26	4.98	1.05	1.83	-0.86	-5.34	-1.51	0.28
-3.62	3.95	5.32	3.13	-1.09	3.64	3.24	2.58	5.24	0.25	-0.72	-3.92	-4.30
-5.85	-3.28	8.68	2.90	4.39	9.23	0.58	5.43	6.81	0.40	3.82	-0.75	-1.68
-2.03	5.88	8.73	2.57	2.89	5.56	-2.47	-4.65	0.87	-3.70	1.49	-0.48	2.17
-1.41	2.07	5.90	-0.05	-1.40	3.48	-0.41	1.46	5.00	-3.17	-1.36	0.68	-0.25
-6.35	5.56	3.03	0.71	0.50	0.74	0.79	1.66	0.31	2.02	1.18	-3.37	-1.70
2.43	4.25	6.42	2.09	-0.44	5.19	-1.45	-1.08	1.87	-2.92	3.45	-0.78	-3.65
-0.21	-1.91	3.02	1.07	-1.54	7.46	2.84	0.27	0.03	3.10	2.16	-0.01	-2.29
2.03	-3.29	3.27	0.83	-1.38	1.08	6.03	0.34	4.12	2.15	-0.92	1.52	1.82
-2.31	4.72	6.04	-2.24	-3.45	2.33	4.10	3.02	0.64	0.33	-1.37	-3.36	-3.62
3.70	1.19	8.30	-3.61	-2.18	10.36	1.60	2.67	2.76	-1.64	-0.02	0.70	2.00
12.06	-8.08	9.66	-5.14	5.37	3.26	-8.73	-1.61	-2.93	-7.43	4.20	5.21	-4.13
31.62	-18.42	10.32	-1.11	0.64	0.43	-10.48	-1.63	-2.37	-9.25	2.99	1.62	-4.59
-5.26	-1.28	-1.62	-4.56	-4.60	0.51	-6.65	-7.06	-1.44	-3.68	-0.89	0.95	-3.73
2.23	-6.84	0.30	-8.64	-8.23	1.64	-0.61	4.03	-4.09	-13.04	1.41	4.91	-2.66
34.81	-27.42	15.19	-10.79	-0.40	5.21	-14.42	5.04	-9.00	-13.72	8.69	1.12	-3.83
28.86	-24.11	11.70	-7.15	-0.83	4.95	-16.35	0.36	-6.23	-11.75	7.28	3.04	-2.20
27.96	-23.22	11.16	-7.00	-3.49	3.82	-15.21	-0.71	-4.80	-9.01	7.38	1.88	-3.86
35.33	-29.48	14.20	-8.82	-4.86	3.14	-17.69	0.82	-5.09	-6.75	8.38	0.05	-2.56
33.52	-30.85	16.08	-5.84	-8.43	3.02	-21.60	1.40	-4.39	-2.51	7.32	-0.28	-2.47
34.34	-32.18	15.42	-7.27	-5.34	1.67	-22.05	-0.78	-4.75	1.05	8.14	-0.91	-3.23
4.97	-17.18	-3.71	-4.15	-11.58	-3.73	-11.13	-7.60	1.48	-1.91	3.48	2.50	-5.01
6.23	-21.83	5.18	-1.96	-5.47	0.29	-12.74	-5.18	-1.23	-3.51	4.19	0.98	-2.99
18.94	-36.94	22.30	-3.90	-3.79	-3.86	-19.36	-5.33	-2.07	0.02	5.06	1.95	-1.74
17.89	-38.16	22.89	-5.86	-3.47	-4.81	-16.99	-5.35	-1.93	-0.38	3.72	1.74	-2.16
21.01	-41.38	25.95	-8.81	-0.51	-5.97	-15.59	-5.60	-2.09	-2.14	3.12	1.15	-0.13
19.95	-38.87	24.29	-7.09	-1.80	-4.24	-16.49	-4.60	-4.40	-0.14	1.02	1.82	-1.96
8.19	-28.76	15.46	1.31	-4.34	-0.40	-13.60	-5.11	-2.33	-1.46	4.83	0.07	-2.60
-0.14	-11.02	5.52	1.86	-5.83	-4.61	-12.92	-6.37	-0.69	-2.09	3.08	-2.52	-7.25
15.14	-30.12	19.16	0.41	-1.90	-1.94	-16.69	-8.19	-7.99	-4.79	6.33	-3.86	-7.64
18.38	-29.48	20.88	-1.42	2.05	3.57	-11.08	-3.93	-5.27	-4.83	4.29	-3.00	-7.19
18.13	-27.03	16.48	0.07	2.69	9.92	-3.40	-2.88	-0.53	-7.76	4.83	0.51	-2.30
7.25	-18.80	0.90	-1.45	-2.24	8.40	-1.16	-0.86	1.55	-2.30	2.64	5.44	-1.94
9.78	-20.49	4.24	-4.23	-3.07	10.96	-0.95	-3.25	2.30	-2.46	6.66	3.75	-0.98
2.88	-17.83	1.25	-1.73	0.68	8.95	-3.89	-6.30	-1.02	-3.09	6.92	3.51	-1.80
-15.60	-5.23	-2.76	1.80	5.17	1.62	-3.84	-3.33	-2.65	-2.39	-0.40	2.79	3.58
-3.03	-4.30	-2.20	-4.18	-1.36	6.57	1.14	-1.10	1.81	1.64	4.60	3.64	-0.35
3.82	-20.78	0.30	-2.12	0.81	7.65	-3.50	-1.70	3.13	0.66	8.25	2.00	-1.71
1.41	-13.98	3.92	-2.40	3.60	7.96	-0.45	-4.03	-1.67	-3.61	6.62	1.61	-4.29
4.74	-18.38	7.07	-1.55	5.65	8.60	-1.96	-3.27	0.06	-4.97	8.06	-0.32	-4.66
-2.09	-10.83	4.29	1.26	5.56	10.01	-2.98	-3.88	1.96	-3.53	2.44	-2.47	-3.50
-3.68	-12.15	2.94	-1.13	2.96	3.18	-2.75	-1.70	2.43	-1.29	4.24	-2.99	-2.93
-8.01	-8.07	1.61	2.57	-3.48	0.69	2.61	-3.50	2.64	-0.10	1.07	1.15	-0.44
-5.70	2.57	2.94	-2.49	-0.00	1.49	-5.89	-3.33	-0.89	3.30	0.21	-1.65	-2.16
-2.81	0.95	4.79	-4.74	0.32	-0.39	-3.28	-1.75	-5.70	-0.37	-1.53	-3.39	-2.40
0.57	-3.84	4.44	-2.01	6.53	2.78	-5.73	-2.88	2.01	-0.44	2.84	-5.07	-6.65
-12.56	-13.16	-9.09	-3.86	-1.19	-0.07	-1.07	0.40	6.24	0.40	7.85	1.22	9.07
-6.32	-7.09	-6.69	-8.64	-1.24	3.11	-4.49	-0.62	4.79	-4.72	3.91	-0.17	1.21
